k,dist,n,freq,expected
1,uniform,5,0.108814,0.0625
2,uniform,5,0.283096,0.25
3,uniform,5,0.350458,0.3750000000000001
4,uniform,5,0.209118,0.25
5,uniform,5,0.048514,0.0625
1,exponential,5,0.025734,0.0625
2,exponential,5,0.189014,0.25
3,exponential,5,0.38443,0.3750000000000001
4,exponential,5,0.312188,0.25
5,exponential,5,0.088634,0.0625
1,uniform,10,0.007334,0.001953125
2,uniform,10,0.033214,0.017578124999999997
3,uniform,10,0.096636,0.0703125
4,uniform,10,0.185406,0.16406249999999997
5,uniform,10,0.24503,0.24609375000000003
6,uniform,10,0.222382,0.24609375000000003
7,uniform,10,0.138938,0.16406249999999997
8,uniform,10,0.056014,0.0703125
9,uniform,10,0.013688,0.017578124999999997
10,uniform,10,0.001358,0.001953125
1,exponential,10,2.2e-4,0.001953125
2,exponential,10,0.005314,0.017578124999999997
3,exponential,10,0.036012,0.0703125
4,exponential,10,0.118978,0.16406249999999997
5,exponential,10,0.226042,0.24609375000000003
6,exponential,10,0.272026,0.24609375000000003
7,exponential,10,0.208732,0.16406249999999997
8,exponential,10,0.101594,0.0703125
9,exponential,10,0.027852,0.017578124999999997
10,exponential,10,0.00323,0.001953125
28,uniform,100,1e-5,2.2082864731302614e-6
29,uniform,100,1.2e-5,5.678450930906319e-6
30,uniform,100,3e-5,1.3902414348081165e-5
31,uniform,100,4.4e-5,3.243896681218906e-5
32,uniform,100,1.08e-4,7.220286161422742e-5
33,uniform,100,2.08e-4,1.53431080930235e-4
34,uniform,100,4.72e-4,3.1151158855531987e-4
35,uniform,100,7.92e-4,6.046989660191527e-4
36,uniform,100,0.001444,0.001123012365464154
37,uniform,100,0.002426,0.001996466427491825
38,uniform,100,0.004028,0.0033993887819455506
39,uniform,100,0.006586,0.005546371170542707
40,uniform,100,0.01042,0.008675093369310374
41,uniform,100,0.01516,0.0130126400539656
42,uniform,100,0.02092,0.018725506419121463
43,uniform,100,0.02857,0.025859032674024722
44,uniform,100,0.037044,0.03427825261440485
45,uniform,100,0.045914,0.04362686696378808
46,uniform,100,0.056456,0.05332172628907353
47,uniform,100,0.064896,0.06259506999152199
48,uniform,100,0.072526,0.070585929990440055
49,uniform,100,0.077402,0.07646809082297605
50,uniform,100,0.080684,0.07958923738717776
51,uniform,100,0.077892,0.07958923738717776
52,uniform,100,0.0745,0.07646809082297605
53,uniform,100,0.068248,0.070585929990440055
54,uniform,100,0.059482,0.06259506999152199
55,uniform,100,0.04966,0.05332172628907353
56,uniform,100,0.04058,0.04362686696378808
57,uniform,100,0.031724,0.03427825261440485
58,uniform,100,0.023778,0.025859032674024722
59,uniform,100,0.017216,0.018725506419121463
60,uniform,100,0.01155,0.0130126400539656
61,uniform,100,0.00765,0.008675093369310374
62,uniform,100,0.004904,0.005546371170542707
63,uniform,100,0.002942,0.0033993887819455506
64,uniform,100,0.001766,0.001996466427491825
65,uniform,100,9.32e-4,0.001123012365464154
66,uniform,100,5.16e-4,6.046989660191527e-4
67,uniform,100,2.72e-4,3.1151158855531987e-4
68,uniform,100,1.46e-4,1.53431080930235e-4
69,uniform,100,3.8e-5,7.220286161422742e-5
70,uniform,100,3.4e-5,3.243896681218906e-5
71,uniform,100,8e-6,1.3902414348081165e-5
72,uniform,100,8e-6,5.678450930906319e-6
73,uniform,100,2e-6,2.2082864731302614e-6
29,exponential,100,2e-6,5.678450930906319e-6
30,exponential,100,2e-6,1.3902414348081165e-5
31,exponential,100,4e-6,3.243896681218906e-5
32,exponential,100,2.4e-5,7.220286161422742e-5
33,exponential,100,4.8e-5,1.53431080930235e-4
34,exponential,100,9e-5,3.1151158855531987e-4
35,exponential,100,2.16e-4,6.046989660191527e-4
36,exponential,100,5.18e-4,0.001123012365464154
37,exponential,100,8.92e-4,0.001996466427491825
38,exponential,100,0.001564,0.0033993887819455506
39,exponential,100,0.002826,0.005546371170542707
40,exponential,100,0.004666,0.008675093369310374
41,exponential,100,0.007524,0.0130126400539656
42,exponential,100,0.011872,0.018725506419121463
43,exponential,100,0.01708,0.025859032674024722
44,exponential,100,0.024076,0.03427825261440485
45,exponential,100,0.032498,0.04362686696378808
46,exponential,100,0.041844,0.05332172628907353
47,exponential,100,0.051284,0.06259506999152199
48,exponential,100,0.061936,0.070585929990440055
49,exponential,100,0.069978,0.07646809082297605
50,exponential,100,0.076444,0.07958923738717776
51,exponential,100,0.080368,0.07958923738717776
52,exponential,100,0.080788,0.07646809082297605
53,exponential,100,0.078502,0.070585929990440055
54,exponential,100,0.07289,0.06259506999152199
55,exponential,100,0.06468,0.05332172628907353
56,exponential,100,0.055534,0.04362686696378808
57,exponential,100,0.044626,0.03427825261440485
58,exponential,100,0.035592,0.025859032674024722
59,exponential,100,0.02661,0.018725506419121463
60,exponential,100,0.019214,0.0130126400539656
61,exponential,100,0.013456,0.008675093369310374
62,exponential,100,0.008988,0.005546371170542707
63,exponential,100,0.005602,0.0033993887819455506
64,exponential,100,0.003326,0.001996466427491825
65,exponential,100,0.002078,0.001123012365464154
66,exponential,100,0.001198,6.046989660191527e-4
67,exponential,100,5.7e-4,3.1151158855531987e-4
68,exponential,100,3.14e-4,1.53431080930235e-4
69,exponential,100,1.38e-4,7.220286161422742e-5
70,exponential,100,8.8e-5,3.243896681218906e-5
71,exponential,100,2.6e-5,1.3902414348081165e-5
72,exponential,100,8e-6,5.678450930906319e-6
73,exponential,100,8e-6,2.2082864731302614e-6
74,exponential,100,4e-6,8.167634900618762e-7
75,exponential,100,2e-6,2.8697095596768575e-7
76,exponential,100,2e-6,9.565698532256147e-8
423,uniform,1000,2e-6,1.4587974445635253e-7
427,uniform,1000,2e-6,4.927972486214011e-7
429,uniform,1000,2e-6,8.837863327013246e-7
430,uniform,1000,2e-6,1.1763216689335382e-6
433,uniform,1000,8e-6,2.7066498886719103e-6
434,uniform,1000,4e-6,3.5442736417483245e-6
435,uniform,1000,6e-6,4.622255486704057e-6
436,uniform,1000,1.2e-5,6.003619195374183e-6
437,uniform,1000,6e-6,7.766149601355431e-6
438,uniform,1000,8e-6,1.0005359783896707e-5
439,uniform,1000,1.4e-5,1.2837927393950916e-5
440,uniform,1000,1.6e-5,1.6405642979511522e-5
441,uniform,1000,2.4e-5,2.087990924665255e-5
442,uniform,1000,4e-5,2.6466823738954137e-5
443,uniform,1000,3.4e-5,3.341286797813439e-5
444,uniform,1000,5e-5,4.2011213236622575e-5
445,uniform,1000,5.2e-5,5.260863639540497e-5
446,uniform,1000,6.2e-5,6.561301842572729e-5
447,uniform,1000,7.4e-5,8.150137266335046e-5
448,uniform,1000,1.42e-4,1.0082832009582057e-4
